state	region	coastal
Maine	Northeast	Y
Vermont	Northeast	N
Rhode Island	Northeast	Y
New York	Midatlantic	Y
Pennsylvania	Midatlantic	N
Indiana	Northcentral	N
Michigan	Northcentral	N
Minnesota	Northcentral	N
Missouri	Northcentral	N
South Dakota	Northcentral	N
Kansas	Northcentral	N
Maryland	Southatlantic	Y
Virginia	Southatlantic	Y
North Carolina	Southatlantic	Y
Georgia	Southatlantic	Y
Kentucky	Southcentral	N
Alabama	Southcentral	Y
Arkansas	Southcentral	N
Oklahoma	Southcentral	N
Montana	Mountain	N
Wyoming	Mountain	N
New Mexico	Mountain	N
Utah	Mountain	N
Washington	Pacific	Y
California	Pacific	Y
Hawaii	Pacific	Y
New Hampshire	Northeast	Y
Massachusetts	Northeast	Y
Connecticut	Northeast	Y
New Jersey	Midatlantic	Y
Ohio	Northcentral	N
Illinois	Northcentral	N
Wisconsin	Northcentral	N
Iowa	Northcentral	N
North Dakota	Northcentral	N
Nebraska	Northcentral	N
Delaware	Southatlantic	Y
DC	Southatlantic	Y
West Virginia	Southatlantic	N
South Carolina	Southatlantic	Y
Florida	Southatlantic	Y
Tennessee	Southcentral	N
Louisiana	Southcentral	Y
Texas	Southcentral	Y
Idaho	Mountain	N
Colorado	Mountain	N
Arizona	Mountain	N
Nevada	Mountain	N
Oregon	Pacific	Y
Alaska	Pacific	Y
